#,Title,Summary,Price,Proposal Questions,Job URL,Client Location
14,Build AI Agents Using Python + Claude API (Multi-Agent Automation System),"Build intelligent AI agents powered by Claude API capable of multi-step reasoning, tool/function calling, workflow automation, memory/context handling, API integrations, web/data processing, and agent-to-agent communication.",$25.00 Fixed-price,,https://www.upwork.com/jobs/~022054256232138153589/,India
15,AI Agent Developer for Research Automation,"Develop an AI Agent for automating academic research paper development. The system should be reusable and integrate with international management papers, journal guidelines, APA referencing requirement systems.",$25.00 Fixed-price,Describe your recent experience with similar projects,https://www.upwork.com/jobs/~022053777051509460711/,Vietnam
16,AI autonomous Agent setup,"Generate/setup a couple of autonomous AI agents to market an online app, using Openclaw.",$15.00-$30.00/hr,,https://www.upwork.com/jobs/~022053858344430647263/,Bahamas
17,AI Quality Engineer for Voice AI,"Build automated QA system for a production voice AI agent serving 150+ retail clients handling 1M+ calls/day. Includes deterministic QA checks, LLM adherence evaluator, pre-launch validation, Slack alerting, and regression monitoring.",$15.00-$35.00/hr,,https://www.upwork.com/jobs/~022054098926778561776/,United States
18,Agentic AI Engineer to create AI Product Factory,"Build a system that takes voice/text instructions and creates complete software projects from start to finish, including brainstorming, planning, building frontend/backend, managing GitHub repos, running tests, and deploying apps.",$500.00 Fixed-price,"How would you prevent AI coding agents from breaking the project structure over time? | To check if you understand, write simply what you understood we're looking for | If you had to build the V1 of this project in the simplest possible way, how would you do it? | We pay 500$ to make this happen from a-z",https://www.upwork.com/jobs/~022053894690865024743/,United States
19,AI Voice Agent Developer for Automotive,"Create an AI voice agent for an automotive company. Responsibilities include developing voice recognition systems, integrating AI solutions, and ensuring seamless interaction with automotive systems.",$19.00-$40.00/hr,,https://www.upwork.com/jobs/~022054082184406405028/,Nigeria
20,"AI Developer: Agentic AI, LLM Integration, Knowledge Retrieval & Intelligent Automation","Build a production-ready AI system including a fully functional AI assistant/chatbot, multi-agent system, RAG pipeline, automated business workflows, and API integrations with scalable backend architecture.",$40.00-$70.00/hr,What LLM frameworks have you worked with? | Have you built a RAG pipeline before? | Share a link to your most relevant AI project | Have you deployed an AI system to production before? | What is your availability and how many hours per week can you dedicate?,https://www.upwork.com/jobs/~022053892191097769687/,India
21,"Build AI Agent / Chatbot for Zoho Books Using Zia, OpenAI, or API Automation","Build a prototype AI agent connected to Zoho Books for a wholesale distribution business. Phases include chatbot for information retrieval, manual task execution, automated agent/digital employee, and business insights.",$200.00 Fixed-price,Describe your recent experience with similar projects | Please list any certifications related to this project | What frameworks have you worked with?,https://www.upwork.com/jobs/~022053923211654074087/,India
22,Agentic AI Engineer for Real Estate Analytics,Develop AI models to analyze real estate data and provide insights for an India-based IT company. Role involves AI engineering and data analysis with strong understanding of machine learning algorithms.,"$1,100.00 Fixed-price",,https://www.upwork.com/jobs/~022053748447300651489/,India
23,Enterprise AI Automation Engineer Needed for Internal AI Agent Development,"Build and implement AI agent capabilities for business operations using Workato (recipes, Genies, MCP servers) with Claude as the reasoning layer. Integrate with Salesforce, Outreach, Slack, and others. US-only freelancers.",$70.00-$120.00/hr,,https://www.upwork.com/jobs/~022047000868115636885/,United States (US-only)
24,AI Engineer – Multi-Agent Systems & LLM Infrastructure,"Build next generation of an internal chat platform transforming an LLM wrapper into a scalable multi-agent system. Integrate Google Looker via MCP, build vector DB pipelines, develop state management systems using Redis/PostgreSQL.",$30.00-$40.00/hr,,https://www.upwork.com/jobs/~022042493575708533584/,United States
25,AI Integration Specialist,Integrate AI agent capabilities into an existing inventory management platform (cs-cart). Build agent beyond simple chatbot to work with tools to understand client data and make recommendations for demand management and supply chain optimization. Built on AWS Bedrock. US-only freelancers.,$40.00-$80.00/hr,,https://www.upwork.com/jobs/~022044064056337514431/,United States (US-only)
26,Microsoft AI Agent Development,Developing agents for clients leveraging Microsoft Copilot Studio and Azure Foundry. US-only freelancers.,$45.00-$100.00/hr,,https://www.upwork.com/jobs/~022048754550331073173/,United States (US-only)
27,Ai Claude ai agent integration for janitorial business,"Build a Claude-powered agent for a Maine-based janitorial cleaning business that automates client inquiries, reminders, operations, scheduling, quote generation, and lead follow-up.",$19.00-$200.00/hr,,https://www.upwork.com/jobs/~022039805079346334392/,United States
28,AI Expert to implement AI agents into Real Estate Sales Business,Implement AI agents into a Hawaii real estate sales business with a team of 5 agents. Looking to enhance sales processes with AI solutions.,$30.00-$60.00/hr,Describe your recent experience with similar projects,https://www.upwork.com/jobs/~022044944694535485021/,United States
29,AI Agent for CRM Appointments,Build an AI Agent that makes calls to a CRM and sets appointments. Involves developing a system that can interact with a CRM to manage and set appointments efficiently.,$6.00-$100.00/hr,,https://www.upwork.com/jobs/~022048884982325312090/,United States
30,Multi agent AI system to automate repetitive tasks,"Build a multi-agent system for lead generation and continuous follow-up until a prospect replies or is ready to purchase. System should identify leads, gather email/contact data, store in Google Sheets, and draft personalized emails.",$20.00-$25.00/hr,,https://www.upwork.com/jobs/~022047701481028788181/,Singapore
31,AI Agent Development for Lead Generation,"Create an AI agent that searches for leads and potential clients, analyzes data, identifies prospects, and facilitates outreach strategies.",$20.00-$35.00/hr,,https://www.upwork.com/jobs/~022043740313264228436/,United States
32,AI Agent Development for Real Estate Investing,"Build an AI agent for real estate investing business to analyze property data, score deals based on investment criteria, integrate with Google Sheets/CRM/data platforms, and automate lead intake-to-analysis-to-follow-up workflows.",$40.00-$80.00/hr,Describe an AI system or automation you've built that makes decisions | What tools and architecture would you use? | Send a brief example or Loom video | Include a link to your GitHub profile | Describe your recent experience with similar projects,https://www.upwork.com/jobs/~022049635329371570880/,United States
33,AI Agent Developer — Python & LLM Automation,"Design, develop, and deploy intelligent agent systems using modern LLM frameworks capable of planning, reasoning, tool use, and multi-step task execution. Requires shipped real-world agent pipelines.",$19.00-$40.00/hr,,https://www.upwork.com/jobs/~022052489514727188914/,United States
34,AI agent developer,"Build AI-powered tools for the disability and healthcare sector, integrating with CRMs, rostering tools, and NDIS-related systems. Create scalable solutions that grow with the business. Requires Python, JavaScript, AI/ML models and frameworks.",$40.00-$80.00/hr,,https://www.upwork.com/jobs/~022043125237822501846/,Australia
35,AI Agent Developer - Claude Code Specialist,Build and maintain AI-powered automation agents. Looking for experienced developer with expertise in Claude Code and Anthropic API integration.,$30.00/hr,,https://www.upwork.com/jobs/~022052758125531305904/,United States
36,AI and Automation Architect Needed for Intelligent Agent Development,Build intelligent agents aimed at eliminating repetitive manual work. Looking for experienced AI and automation architect with strong background in AI technologies and automation frameworks.,"$2,000.00 Fixed-price",,https://www.upwork.com/jobs/~022049754780025041265/,Canada
37,AI Implementation and Monthly Management for Business,"Integrate AI solutions into multiple real estate related businesses. Identify appropriate AI tools, implement them effectively, and monitor performance to optimize outcomes.",$500.00 Fixed-price,Do you have an experience in real estate related businesses?,https://www.upwork.com/jobs/~022047025296863983367/,United States
38,Build AI Chatbot / AI Agent for Website,"Build a smart chatbot (AI agent) for a website that can engage visitors, answer questions, qualify leads, and collect project requirements. Should guide users through discovery process, capture leads, and integrate with Calendly.",$250.00 Fixed-price,,https://www.upwork.com/jobs/~022049540021677490880/,United Arab Emirates
39,AI Agent Setup and Integration,"Set up and integrate AI agents for basic email management, todo list management, calendar, review of trading/stock picks, cashflow sheet management, weekly reminders, and business idea tracking. Ideally prompted via WhatsApp voice or text.",$15.00-$35.00/hr,,https://www.upwork.com/jobs/~022053363843167811692/,Australia
40,AI Agents,"Looking for an AI agent producer that specializes in AI-powered tools or platforms designed to create, manage, and deploy autonomous agents for content creation, marketing automation, or software development.",Not listed,,https://www.upwork.com/jobs/~022048577673978126293/,United States
41,AI Agent Development and Management,"Build, develop, and manage an AI agent tailored to business needs. Responsibilities include designing the AI framework, implementing features, and ongoing management.",$8.00-$20.00/hr,,https://www.upwork.com/jobs/~022046376637768911825/,United States
42,"AI Agent Audit Specialist (LLM, Automation, Prompt Engineering, AI Workflow Review)","Audit an AI agent system for potential pitfalls, edge cases, and performance risks. Identify weaknesses in logic, prompt design, data handling, hallucination risks, and reliability. Deliverable is a breakdown of issues, improvement recommendations, and critical risks. US-only freelancers.",$150.00 Fixed-price,,https://www.upwork.com/jobs/~022045982654012960863/,United States (US-only)
43,AI Agent Setup for Project Estimation Library,Set up an AI agent for a project estimation library to enhance estimation accuracy and efficiency.,$19.00-$40.00/hr,,https://www.upwork.com/jobs/~022037514867692530198/,Saudi Arabia
44,AI Agent Developer for Gov Project,Create AI agents using CrewAI and HeyGen for a government project. Design and implement AI solutions that meet government standards and regulations.,$10.00-$40.00/hr,,https://www.upwork.com/jobs/~022047595270049429255/,United Arab Emirates
45,AI Agent Developer for Task Automation,Build an AI agent for task automation (full details in attached PDF). Expert level required.,Not listed,,https://www.upwork.com/jobs/~022049654807849741058/,United States
46,AI Developer Needed for Intelligent Email Management Agent,"Create an intelligent AI agent that manages a group email inbox and analyzes emails and attachments. Categorize, prioritize, and assign emails while extracting insights. Integrate with Power Automate and D365 CRM System.",$30.00-$60.00/hr,,https://www.upwork.com/jobs/~022052101908143229199/,United States
47,Build an AI Marketing Agent & other agents on AWS using Anthropic Claude API,"Build a marketing automation agent running on AWS EC2 using the Anthropic Claude API (claude-sonnet-4-6). Includes MCP connections to Meta Ads, Google Ads, Mailchimp/Klaviyo, Notion, Slack, Google Drive/Gmail.",$15.00-$25.00/hr,,https://www.upwork.com/jobs/~022033345347428934616/,Australia
48,Fractional CTO — AI Agent Orchestration Platform for SMBs,"AEON is an AI Workforce Agency deploying autonomous AI agents for SMBs. Need a fractional CTO to pressure-test architecture, accelerate the technical build, and help get from working prototype to repeatable deployment methodology.",$50.00-$125.00/hr,,https://www.upwork.com/jobs/~022041354973786273908/,El Salvador
49,Agentic AI Systems Architect,"Design an AI agent system for a real estate business. Review current workflows across leads, listings, client communication, admin, transactions, and operations; create a practical multi-agent architecture.",$200.00 Fixed-price,,https://www.upwork.com/jobs/~022043329564880433481/,Greece
50,Senior AI Agent Developer (Agentic Workflows / LangChain / CrewAI),"Erebyss AI (B2B AI platform) looking for a Senior AI Agent Developer to design, build, and deploy custom agentic AI systems for clients. Build multi-agent workflows, integrate with client systems, build RAG pipelines, and instrument agents with observability.",$10.00-$80.00/hr,,https://www.upwork.com/jobs/~022053126292272566219/,United States
51,AI Agent for Insurance Quotation Platform,I need to create an AI agent or an automation that enters the quotation platform of an insurance company and fills in the personal and quotation data. The solution should be able to handle data entry and possibly data processing tasks efficiently.,Hourly: $19.00-$40.00,,https://www.upwork.com/jobs/~022052331084071855780,Italy
52,"AI Consultant / Architect to Build Internal AI Agent System (Sales, Operations, Company-wide)","Looking for an experienced AI consultant or small agency to help design and implement an internal AI system enabling the company to build and use AI agents across multiple functions including sales, operations, and other internal workflows. Company is a 14-person medical translation agency using HubSpot, Apollo, LinkedIn, Plunet.",Hourly: $15.00-$35.00,,https://www.upwork.com/jobs/~022051632962060936147,Spain
53,Senior AI Agent Developer (Agentic Workflows / LangChain / CrewAI),"Erebyss AI is looking for a Senior AI Agent Developer to design, build, and deploy custom agentic AI systems for clients. The role involves developing agentic workflows using LangChain, LangGraph, CrewAI, AutoGen; integrating agents with client systems and APIs; building RAG pipelines; and instrumenting with observability frameworks.",Hourly: $10.00-$80.00,,https://www.upwork.com/jobs/~022053126292272566219,United States
54,AI Agent Developer,"Looking for an AI Agent Developer to design, build, and deploy intelligent autonomous agents that solve real-world problems. Work at the cutting edge of LLMs, tool use, and agentic workflows. U.S. located freelancers only.",Hourly: $65.00-$128.00,,https://www.upwork.com/jobs/~022050427377395164115,United States
55,Create and integrate Openclaw AI Agent for me,Looking for someone to help set up multiple AI agents running simultaneously using Openclaw. Client set up an Openclaw account but ran into snags. Looking for someone who can help and also help others in their network do the same.,Hourly: $19.00-$40.00,,https://www.upwork.com/jobs/~022046807128030781397,United States
56,Multi-Agent AI System Developer,"Develop a multi-agent AI system using LLMs, focusing on personalization, memory, and orchestration. Experience with Python and vector databases is essential. The project involves integrating LangGraph for enhanced AI capabilities.",Hourly: $19.00-$40.00,,https://www.upwork.com/jobs/~022047405615834806425,United States
57,AI Agent Developer Needed for Two Specialized Agents: ProForm Rules & Trading Data Analysis,"Looking for an experienced AI developer to build two distinct AI agents: (1) ProForm Agent to analyze and interpret ProForm challenge rules; (2) Trading Agent to analyze minute-by-minute market data, identifying bullish/bearish patterns and correlating with market news.",Not listed,,https://www.upwork.com/jobs/~022049254885134885525,USA
58,AI Agent Developer — LangGraph / LangChain,"Building a multi-agent AI pipeline for an e-commerce client. The pipeline takes a product brief as input and autonomously produces a complete content package including research, long-form copy, and image assets, delivered to Google Drive. Stack: LangGraph, LangChain, Anthropic Claude API, Tavily, Firecrawl, OpenAI image generation, Google Drive/Docs API.",Not listed,,https://www.upwork.com/jobs/~022047416332578906773,United States
59,AI Agent Developer,Need help designing an automation that reads emails and categorizes them. It needs to add tags that are relevant. Client wants to be able to modify the prompt over time through a file as tags change.,Hourly: $10.00-$17.00,,https://www.upwork.com/jobs/~022051431076305438076,United States
60,AI Agent Developer for Workflows,Seeking a skilled freelancer to develop AI agents that enhance workflows and improve client acquisition through email. Responsibilities include designing and implementing AI solutions to streamline processes and increase client engagement via email campaigns.,Not listed,Describe two other ai agents you have build for other clients and what they do. | Describe your recent experience with similar projects | Include a link to your GitHub profile and/or website | What frameworks have you worked with?,https://www.upwork.com/jobs/~022047435467385796359,United States
61,AI Agent Developer,"GKhair (professional hair care brand) is looking for a hands-on AI Agent Developer to build production-ready AI agents using Claude (Anthropic) within Claude Code. Key focus is deep integration with Google Sheets for live business operations including inventory, reporting, CRM.",Hourly: $30.00-$60.00,,https://www.upwork.com/jobs/~022052795066673998258,United States
62,"AI Agent + Browser Automation Engineer (Python, Playwright, OpenAI)","Looking for an experienced AI automation engineer to build a Pokémon TCG release monitoring and notification platform. Stack: Python, Playwright, FastAPI, PostgreSQL, Redis, Discord webhooks, OpenAI API. Features: real-time product monitoring, multi-site stock tracking, AI filtering/classification, dashboard UI.",Hourly: $30.00-$100.00,,https://www.upwork.com/jobs/~022053527331255298482,United States
63,Ai Phone Agent,"Looking for an experienced developer to build an AI-powered phone system/voice agent for handling inbound calls using platforms such as Vapi, Bland AI, or similar. Currently using ElevenLabs but it's not meeting expectations. Want to migrate to a more complete, reliable solution that can answer calls, interact with callers, collect info, handle requests, and send transcripts.",Not listed,,https://www.upwork.com/jobs/~022050266177481507520,Puerto Rico
64,AI Agent Creator / Automation Specialist (Custom AI Workflow Development),"Looking for an experienced AI Agent Creator/Automation Specialist to design, build, and deploy intelligent AI-driven workflows and agents to support business operations, marketing, and internal systems. Integrate AI tools with Google Workspace, Shopify, Slack; automate with Zapier/Make; develop prompt frameworks and logic flows.",Hourly: $25.00-$47.00,,https://www.upwork.com/jobs/~022049571857313071808,United States
65,AI Agent Developer and Automation Specialist,"Looking for an AI Agent Creator/Automation Specialist to build custom AI workflows and agents for business operations, marketing, lead generation, and internal processes. Experience with LLMs, APIs, and automation tools like Zapier, Make, or n8n required.",Hourly: $19.00-$40.00,,https://www.upwork.com/jobs/~022051244833268873925,France
66,AI Agents Specialist,"Looking for an experienced AI/automation specialist to build and manage intelligent agents that can streamline workflows. Key focus: AI agents that can parse and analyze incoming emails, extract and structure relevant data automatically, identify key information, and automate repetitive decision-making tasks.",Not listed,,https://www.upwork.com/jobs/~022049501162654343125,United States
67,Deterministic AI Agent Development,"Seeking a skilled developer to create a deterministic AI agent that strictly adheres to a provided Knowledge Base (KB). The agent must respond based solely on the information contained within the KB, avoiding assumption, extrapolation, or invention of data.","Fixed: $2,000.00",Describe your recent experience with similar projects,https://www.upwork.com/jobs/~022036360693979639051,United Arab Emirates
68,Ai Automation Agent,"Building an AI agent to integrate with Outlook and process invoices and purchase orders, check stocks in accounting software, and send invoices in Outlook for review and sending.",Hourly: $25.00-$50.00,,https://www.upwork.com/jobs/~022047499561815187413,Australia
69,AI Agents,Working with clients to build AI agents of all types and complexity. U.S. located freelancers only.,Hourly: $25.00-$100.00,,https://www.upwork.com/jobs/~022046997348112005722,United States
70,Enterprise AI Automation Specialist,"Looking for an Enterprise AI Automation Specialist to analyze and optimize existing operational workflows using AI and automation. Role involves auditing workflows, identifying inefficiencies, designing automated systems, building AI-driven workflows using custom agents, integrations, and automation pipelines.",Hourly: $30.00-$60.00,,https://www.upwork.com/jobs/~022052527207467118206,Canada
71,Full Stack + AI Systems Engineer (AI Operating System for Businesses),"Building an AI-powered operating system that audits, diagnoses, and improves businesses automatically. System functions as an AI consultant and execution engine: user inputs website, system audits tech stack/marketing/funnel, AI agents execute solutions automatically. Featured job.",Hourly: $15.00-$35.00,,https://www.upwork.com/jobs/~022047384607455262873,United States
72,AI Voice Agent Automation,"Need a freelancer to build and set up an AI voice agent for outbound prospecting. System should call leads, speak naturally, answer general questions, identify interested prospects, and automatically push interested leads with notes into a Google Sheet.",Fixed: $50.00,,https://www.upwork.com/jobs/~022044792176983564366,United Kingdom
73,Creating AI agent and System,Education and migration consultancy wants to implement AI Agent and automation to make workflow simple.,Not listed,,https://www.upwork.com/jobs/~022053445036363921375,Australia
74,"AI Voice Agent Developer – Build AI Caller with Warm Transfer, Data Capture, and Webhooks","Looking for an experienced AI Voice Agent developer to build an advanced AI calling system that can handle outbound calls, qualify leads, collect data, and perform a warm transfer to a closing agent when a prospect shows interest. First project in a larger AI calling infrastructure. Featured job.",Not listed,,https://www.upwork.com/jobs/~022042345940180583224,United States
75,AI automation Specialist Wanted For E-comm,"Looking for an experienced AI Automation Specialist to design, build, and deploy an intelligent customer service agent handling inbound customer inquiries in real time across Facebook Messenger, Instagram DMs, and email. Successful delivery will lead to additional AI agent builds.",Hourly: $15.00-$30.00,Can you share examples of similar projects you've worked on?,https://www.upwork.com/jobs/~022026600056888795518,USA
76,AI Voice Agent Development for Inbound Calls,"Seeking an experienced developer to create a sophisticated AI voice agent designed specifically for handling inbound calls. The ideal candidate should have expertise in natural language processing, machine learning, and voice recognition technologies.",Hourly: $5.00-$20.00,Describe your recent experience with similar projects | How do you use metrics to inform your strategy?,https://www.upwork.com/jobs/~022043958267832741646,United Arab Emirates
77,Build Real Estate Agentic AI,"Licensed Realtor in Greater Boston area looking to build a custom automated lead generation and outreach system using n8n. System should monitor data sources, enrich lead data via API, generate personalized outreach using Claude or GPT, deliver via Gmail, log automatically, trigger real-time Slack notifications, track leads in HubSpot CRM. U.S. freelancers only.",Fixed: $500.00,,https://www.upwork.com/jobs/~022046705886476162614,United States
78,AI Agent System for Social Media,"Seeking a skilled freelancer to develop an AI agent system capable of generating and scheduling content on TikTok, Instagram, and Facebook. Requires experience in AI development and social media management.","Fixed: $5,000.00",Describe your recent experience with similar projects,https://www.upwork.com/jobs/~022048559884192936556,United States
79,AI Agent Developer (Automation & Workflow Integration),"Looking for a developer to build a simple AI agent that can monitor calendar events, send email notifications, and log meeting details into monday.com. Goal is to automate scheduling workflows, improve visibility of upcoming meetings, and reduce manual work. U.S. only.",Fixed: $50.00,,https://www.upwork.com/jobs/~022041673732134977268,USA
80,AI Expert for Complex Voice Agent,"Looking for an experienced Retell AI developer to build or optimize a sophisticated voice agent that handles complex conversational scenarios with multi-step conversation flows, branching logic, conditional logic, context-aware responses, and backend system integrations. Featured job.",Hourly: $30.00-$60.00,Provide a phone number or a demo for your voice AI Agent,https://www.upwork.com/jobs/~022047785563460935637,United States
81,AI Agent Developer for WooCommerce,"Looking for an experienced developer to build and integrate an AI-powered assistant into a WooCommerce webshop. The AI agent should understand natural language product requests, ask clarifying questions, and recommend relevant products from the existing product database based on budget, season, sustainability, etc.",Hourly: $12.00-$27.00,,https://www.upwork.com/jobs/~022048835617009377237,Switzerland
82,Ai agents and automations,AI agency in the UK helping businesses implement AI. Looking for a freelancer who is an expert in creating tailored AI agents and automations and is reliable.,Not listed,,https://www.upwork.com/jobs/~022051318589073928401,GBR
83,"Senior AI Engineer | Coding Agents, AI Generated Slides, Python-pptx knowledge","Product company building a production-grade multi-agent system powered by RAG and LangGraph. One key agent will generate PowerPoint presentations from natural language by writing code that produces a PPTX file. Requires coding agent experience, think-cell chart automation, and LangGraph integration.",Hourly: $20.00-$60.00,,https://www.upwork.com/jobs/~022051945297187567724,ARE
84,Expert AI Developer Needed,"Need a skilled developer to build an AI-powered Marketing Assistant. Core tasks include appointment setting & lead qualification, copywriting (emails, ads, social content), automated follow-up sequences, and lead research and CRM updates. U.S. freelancers only.",Hourly: $30.00-$50.00,,https://www.upwork.com/jobs/~022047117704171681543,United States
85,AI Voice Agents,"Implement conversational agents in client environments for managing notifications, incidents, budget requests, or inquiries. Integration with internal systems using tools such as Retell AI, SIP, Twilio, VPS, n8n, and databases.",Not listed,,https://www.upwork.com/jobs/~022048645472010238554,Spain
86,Agentic AI + Sales,"Looking for someone to help build an AI-powered sales/outreach pipeline for a SaaS startup. Includes evaluating ICPs, finding target companies/contacts, determining best outreach channel, recommending outreach messages, monitoring replies, and determining follow-up timing. Looking for agentic workflow design, not simple Zapier setup.",Hourly: $3.00-$6.00,,https://www.upwork.com/jobs/~022048503118017032812,United States
87,AI Agent for Chatbot Development,Seeking an AI agent developer as a partner for different ideas to implement. Looking for long-term relationship.,Not listed,,https://www.upwork.com/jobs/~022047987766378166023,Oman
88,Claude Code AI Specialist - Agent Developer,"Looking for an experienced Claude Code AI Specialist to develop intelligent automation agents and AI-powered solutions. Must have experience with AI/ML, Python, and building production-ready AI systems.",Hourly: $30.00,,https://www.upwork.com/jobs/~022052760603172452319,United States
89,AI Sales Agent Prompt Engineer,Looking for an LLM prompt engineer to enhance a sales agent prompt for maximum effectiveness and efficient use of tokens. The prompt is done but needs enhancements and debloating using modern techniques. Chosen LLM is Claude Sonnet 4.6.,Fixed: $200.00,,https://www.upwork.com/jobs/~022044885630856574953,Australia
90,Remote AI Agent Developer,Seeking a skilled developer to create a smart personal business operator using OpenClaw. The system should manage and optimize business processes efficiently.,Hourly: $15.00-$30.00,,https://www.upwork.com/jobs/~022053235804989761970,Saudi Arabia
91,AI Agent Development for Business,"Seeking a skilled freelancer to develop an AI agent for business capable of performing tasks such as data analysis, customer service, and process automation. Budget: $10 fixed price.",Fixed: $10.00,,https://www.upwork.com/jobs/~022049160710388316762,United Kingdom
92,After hours voice ai agent,"Looking for an experienced voice AI developer to build an after-hours inbound agent for a UK-based healthcare clinic. Agent handles calls outside business hours. Uses Retell AI, ElevenLabs, Twilio, OpenAI/GPT, n8n, Cliniko API, and GoHighLevel. Handles new patient flows, existing patient lookup, rescheduling, cancellations.","Fixed: $1,700.00",,https://www.upwork.com/jobs/~022050074197629207932,Australia
93,LLM Agent Expert (AI Systems & Automation),"Building a next-generation AI-driven platform seeking an LLM Agent Expert to design, build, validate, and ship autonomous agent systems end-to-end. Responsibilities include multi-agent LLM systems, automated pipelines for content generation, agent-based QA systems, and observability frameworks.",Hourly: $3.00-$999.00,Describe your recent experience with similar projects,https://www.upwork.com/jobs/~022048438739295926874,Canada
94,Agentic AI developer,"Looking for an experienced Agentic AI developer to build an intelligent system that can autonomously interact across platforms like Discord and other social media channels. The AI agent should monitor, respond, and take actions across communities with minimal human intervention.",Hourly: $13.00-$30.00,,https://www.upwork.com/jobs/~022051512427448624083,USA
95,AI Customer Support Agent for E-Commerce,"Looking for an AI customer support assistant to handle a large portion of incoming support workload across website chat, email, and WhatsApp. Receives thousands of customer queries related to orders, shipping, refunds, product details. AI should integrate with order system, customer records, and FAQ knowledge base.",Fixed: $150.00,,https://www.upwork.com/jobs/~022046373073431669400,United States
