company,fit_flag,alek_signal,lender_note,lane,line_type,cnam_match,lien_age_months,ucc_status,ucc_secured_party,ucc_lender_class,power_units,equipment_ticket,crm,funded,david_colour,outcome,human_reached,owner_reached,david_comment
GBC Concrete LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Pawnee and Amur independent-lender history;2024Alliancepump initialpartyMidlandStatesBank, followed2025NorthMillCreditTrust amendment on same masterdocument20242094294. Mixedbankhistory retained; independentrelationship not inferred frombank-only filing. UCC filing IDs: 20162018359;20162078106;20172090130;20212002359;20232120631;20242094294;20252127428. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.buildzoom.com/contractor/gbc-concrete-llc; https://www.thebluebook.com/iProView/1204602/gbc-concrete-llc/material-suppliers/locations-contacts/; https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2389397 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,landline (ILEC),none,9,,AMUR;NORTH_MILL;Pawnee Leasing Corporation,ef_independent,,Concrete placement operations can use line or boom-pump trucks; current ownership is only a ranking bonus.,yes,1,funded,existing_lead,0,0,DO NOT CALL. Funded customer (4 deals).
"LG Electrical, LLC",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"UCC filing IDs: 20242093053. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://lgelectricalllc.com/; https://www.buildzoom.com/contractor/lg-electrical-llc; https://linkedin.com/company/lg-electrical-llc UCC source: https://data.colorado.gov/resource/wffy-3uut.json",B_BUCKET,wireless,none,23,,Oakmont Capital Services,ef_independent,,Bucket/aerial truck capacity for field electrical installation and service.,no,0,red,dead,1,1,Asked to be taken off the call list. No plans to buy anything
Millers Oilfield Services LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Trans Lease is affiliated with the Transwest dealer group; classified as nonbank and not manufacturer-captive. Other recorded context: Trans Lease is Transwest dealer-group affiliated; self-described independent nonbank finance company, not an OEM captive. Separate from unaffiliated lessors. UCC filing IDs: 2007F110114. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.quicktransportsolutions.com/truckingcompany/colorado/millers-oilfield-services-llc-usdot-1054661.php; https://www.linkedin.com/in/david-mello-439260221 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",C_CRANE,landline (ILEC),none,226,,"TRANS LEASE, INC",ef_independent,,"Truck-mounted crane/service-boom capacity for operated lifting, steel erection, or field service.",no,0,yellow,dead,0,0,NIS. No other info online
"WESTERN SLOPE CONCRETE PUMPING, LLC",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"UCC filing IDs: 20242009700. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://dot.report/dot/1981464; https://naicslist.com/company-profile/western-slope-concrete-pumping-llc-grand-junction-co-81504 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,wireless,none,31,,Mitsubishi HC Capital America / ENGS Commercial Finance,ef_independent,,Concrete placement operations can use line or boom-pump trucks; current ownership is only a ranking bonus.,no,0,yellow,dead,0,0,LMIGMB. No promos. No online footprint
Evergreen Tree Service LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20252063100. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.lanefinder.com/c/evergreen_tree_service_llc/4367551; https://www.mapquest.com/us/colorado/evergreen-tree-service-378508493; https://www.startupwebsolutions.com.au/e-headquarters/evergreen-tree-service-llc-headquarters.html; https://www.evergreentreeservicellc.com/our-work-1 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,wireless,none,15,,ALLEGIANT_PARTNERS,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity for pruning, removal, storm response, or mitigation.",no,0,,no_decision,0,0,LMIG. Offered Q4 promos
EXTREME DESIGN CONTRACTING,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Trans Lease is affiliated with the Transwest dealer group; classified as nonbank and not manufacturer-captive. Other recorded context: Trans Lease is Transwest dealer-group affiliated; self-described independent nonbank finance company, not an OEM captive. Separate from unaffiliated lessors. UCC filing IDs: 20232117841. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://opengovco.com/trade-name/20231431236; https://opengovco.com/trade-name/20151633372; https://naicslist.com/company-profile/extreme-design-contracting-golden-co-80401; https://pppreport.org/latest/company/extreme+design+contracting; https://www.erealestatepro.com/real_estate_agents/listing_82b585d3cf84c99eccc3f0865bbb0284.shtml UCC source: https://data.colorado.gov/resource/wffy-3uut.json",C_CRANE,landline (ILEC),none,32,,"TRANS LEASE, INC.",ef_independent,,"Truck-mounted crane or boom capacity for mobile lifting, installation, or timber erection.",yes,0,existing,existing_lead,0,0,DO NOT CALL. Alec's lead
"Mile High Tree Care, Inc.",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20222042587;20242098056;20252105402;20252130677;20262019514. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://milehightreecare.com/; https://www.linkedin.com/company/mile-high-tree-care-inc; https://www.roserocket.com/trucking-company/mile-high-tree-care-inc-usdot-1218840; https://milehightreecare.com/mulch/; https://denvertransitpartners.com/opportunities/awarded-contracting-opportunities/; https://pppreport.org/company/mile+high+tree+care+inc; https://www.linkedin.com/in/kelly-rodriguez-18749427; https://store.milehightreecare.com/terms-conditions/; https://www.linkedin.com/in/richard-gough-218493334; https://www.linkedin.com/in/jacob-casey-494898183 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,landline (ILEC),none,6,,ALLEGIANT_PARTNERS,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity supporting tree removal, pruning, storm response, and material handling.",no,0,yellow,dead,1,0,Asked to be taken off the list
DAN'S DRAINS AND DIGS LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Current Navitas ownership is Wafra following September 2026 closing; older filings may date to bank ownership and are flagged as historical bank-era relationships. Other recorded context: Navitas became Wafra-owned effective 2026-09-01; these filings occurred during prior bank ownership and are retained with that historical flag. UCC filing IDs: 20242011234;20262066853. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.dansdrainsanddigs.com/; https://www.lanefinder.com/c/dans_drains_and_digs/3550359; https://www.buildzoom.com/contractor/dans-drains-digs; https://www.linkedin.com/in/daniel-clarey-43493864; https://www.dansdrainsanddigs.com/trenchless-pipe-repair/; https://www.dansdrainsanddigs.com/sewer-and-drain-cleaning/ UCC source: https://data.colorado.gov/resource/wffy-3uut.json",A_VAC,landline/VoIP (CLEC),none,2,,Navitas Credit Corp.,ef_independent,,"Sewer jetter, vacuum, or inspection service capacity for self-performed drain and sewer work.",no,0,yellow,dead,1,0,Sec hanged up as soon as she heard financing
"Gilbert's Tree Service, Inc.",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20172116425;20172118486. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://gilbertstreeservice.com/; https://gilbertstreeservice.com/services/deep-root-fertilization; https://www.linkedin.com/in/joshua-dileonardo-302733367; https://www.bbb.org/us/co/colorado-springs/profile/tree-service/gilberts-tree-service-and-landscaping-inc-0785-3823362; https://brokersnapshot.com/Company?dot=1339677; https://www.linkedin.com/in/robbie-gilbert-15bb52235 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,landline/VoIP (CLEC),none,104,,ALLEGIANT_PARTNERS,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity supporting tree removal, pruning, storm response, and material handling.",no,0,,no_decision,0,0,LVM. Offered Q4 promos
Makco LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Trans Lease is affiliated with the Transwest dealer group; classified as nonbank and not manufacturer-captive. Other recorded context: North Mill independent equipment lender. Additional Trans Lease dealer-group affiliation flagged. UCC filing IDs: 20242076687;20242079659. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://newbizbot.ai/fmcsa-carriers/carrier/4336821; https://www.linkedin.com/in/alexander-jackson-a4048848; https://b2bhint.com/en/archive/us-al/2012/12/10; https://pine-bluff-jefferson.arbusinessdirectory.com/makco-llc.html; https://opengovus.com/west-virginia-business/73114; https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4336821 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",A_VAC,wireless,none,24,,NORTH_MILL;TRANS_LEASE,ef_independent,,"Utility, drain, septic, or excavation work can use vacuum, hydrovac, or jetting equipment.",yes,0,existing,existing_lead,0,0,LVM. Offered Q4 promos. Last year he said he is not buying anything
SBD CONCRETE INC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Star is a MEDIUM-confidence supported current nonbank/nonmanufacturer lender inference. Current controlling ownership is undisclosed; no complete shareholder verification is claimed. Other recorded context: Listed secured party is retained as lender-first history; filing alone does not prove current buying intent. UCC filing IDs: 20252060942;20252098119. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.thebluebook.com/iProView/943480/sbd-concrete-inc/subcontractors/locations-contacts/; https://linkedin.com/company/sbd-concrete-inc; https://www.buildzoom.com/contractor/sbd-concrete-inc; https://yourbizlistings.com/listings/328741/sbd-concrete-inc-and-pumping-services; https://www.bizset.com/company-list/colorado/SB/; https://allpeople.com/jeffrey+b+wright_quadna-a-dxp-company-us UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,landline (ILEC),none,12,,AMUR;Star Capital Group,ef_independent,,"Trailer line pump or small boom pump for the contractor's concrete foundations, structural placements and advertised pumping service.",no,0,,no_decision,0,0,LMWS. No promos
"Splintered Forest, LLC",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"See lender cache for entity and ownership evidence. UCC filing IDs: 20212069706;20222035373;20222047913;20222085139. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://splinteredforesttreeservices.com/; https://splinteredforesttreeservices.com/about-splintered-forest-tree-services/; https://www.quicktransportsolutions.com/truckingcompany/colorado/splintered-forest-llc-usdot-2588989.php; https://mymountaintown.com/community/member-resources/my-profile/2445-splinteredforest UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,wireless,none,48,,ALLEGIANT_PARTNERS,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity supporting tree removal, pruning, storm response, and material handling.",no,0,yellow,dead,1,1,"Sec (sounded like an owner) said ""we"" are all set and no need to follow up"
"TRI STAR CONSTRUCTION, INC.",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"UCC filing IDs: 2008F017726. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://www.lanefinder.com/c/tri_star_construction_inc/1466393; https://app.fenderr.com/carrier/1466393; https://www.bbb.org/us/co/ignacio/profile/general-contractor/tri-star-construction-inc-0806-99132920; https://app.fenderr.com/carrier/1466393 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",C_CRANE,landline (ILEC),none,222,,Marlin Leasing Corporation,ef_independent,,The documented field fabrication or erection operation can use truck-mounted crane or boom equipment.,no,0,yellow,dead,0,0,NIS. Same number online
UNITED PLUMBING SERVICES COMPANY,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Star is a MEDIUM-confidence supported current nonbank/nonmanufacturer lender inference. Current controlling ownership is undisclosed; no complete shareholder verification is claimed. Other recorded context: Listed secured party is treated as lender-first discovery; filing does not prove current intent. UCC filing IDs: 20232089196. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://linkedin.com/company/united-plumbing-services-company; https://www.buildzoom.com/contractor/united-plumbing-services-company; https://otrucking.com/carrier/united-plumbing-services-company-dot-1808914/; http://www.datalog.co.uk/browse/detail.php/CompanyNumber/USCO20011121969/United+Plumbing+Services+Company; https://www.linkedin.com/in/antonio-collins-denver; https://www.bizapedia.com/co/united-plumbing-services-company.html; https://www.linkedin.com/in/stephanie-garcia-9866601a2; https://otrucking.com/carrier/collins-trucking-ltd-dot-3456843/ UCC source: https://data.colorado.gov/resource/wffy-3uut.json",A_VAC,wireless,none,35,,Star Capital Group,ef_independent,,Sewer jetter or vacuum equipment for documented hydro-jetting and sewer service.,no,0,blue,followup,1,0,Out till Oct. Workig in AZ
"ADVANCE CONCRETE, INC.",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Trans Lease is affiliated with the Transwest dealer group; classified as nonbank and not manufacturer-captive. Other recorded context: Trans Lease is Transwest dealer-group affiliated; self-described independent nonbank finance company, not an OEM captive. Separate from unaffiliated lessors. UCC filing IDs: 20202112696. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://opengovus.com/motor-carrier/957485; https://www.mapquest.com/us/colorado/advance-concrete-345657351 UCC source: https://data.colorado.gov/resource/wffy-3uut.json",P_PUMP,landline (ILEC),none,71,,"TRANS LEASE, INC.",ef_independent,,"Concrete boom or line pump for foundations, stamped concrete, driveways, retaining walls and other poured placement; truck-mounted crane for material handling is also plausible.",no,0,blue,followup,0,0,LMWS. No promos. Try his other number tomorrow
DAK Drilling LLC,DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"UCC filing IDs: 20212083037; 20212127238; 20242006750. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://dakdrilling.com/; https://dakdrilling.com/welldrilling/; https://dakdrilling.com/durango-co-well-driller-contact/; https://www.linkedin.com/company/dak-drilling-and-well-service UCC source: https://data.colorado.gov/resource/wffy-3uut.json",C_CRANE,landline (ILEC),none,31,,Mak Global Corporation; NORTH_MILL,ef_independent,,"Water-well drilling, pump installation/repair, and well-service support can require drilling-service and pump-support vehicles; no fabrication inference.",no,0,,no_decision,0,0,LMWS. She screened the call. Offered promo rates
"Root Tree Service, LLC",DELIVERED,PREDICTIVE_SIGNAL;UNKNOWN_NOT_FINANCE_OPEN,"Trans Lease is affiliated with the Transwest dealer group; classified as nonbank and not manufacturer-captive. Other recorded context: Trans Lease is Transwest dealer-group affiliated; self-described independent nonbank finance company, not an OEM captive. Separate from unaffiliated lessors. UCC filing IDs: 20192120339;20202129785;20222051820;20252122122. Date/age refers to latest recorded filing, not debt maturity. Current UCC status and payoff are not inferred. Company sources: https://roottreeservice.com/Centennial-Tree-Services; https://linkedin.com/company/root-tree-service; https://brokersnapshot.com/Company?dot=2937352; https://roottreeservice.com/Deep-Root-Watering-and-Fertilization-with-Iron UCC source: https://data.colorado.gov/resource/wffy-3uut.json",T_TREE,wireless,none,9,,TRANS_LEASE,ef_independent,,"Bucket/aerial, grapple, or crane-truck capacity for pruning, removal, storm response, or mitigation.",yes,0,existing,existing_lead,0,0,DO NOT CALL. Aaron's lead
